Config,Organization,RAM,CPU,Scrubbed IPs,Duration_Seconds,Num_Commands
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,1.982,1
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,2.194,1
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,2.264,1
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,1.957,1
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,2.4,0
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,0.972,0
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,0.949,0
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,0.931,0
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,0.917,0
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,1.619,1
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,1.394,1
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,1.355,1
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,2.532,3
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,0.21,0
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,0.712,3
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,2.378,3
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,1.403,1
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,2.064,1
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,1.379,1
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,1.39,1
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,1.123,0
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,2.433,0
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,1.241,1
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,3.076,3
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,3.079,3
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,3,3
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,1.072,3
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,1.253,0
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,1.141,0
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,0.884,0
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,147.962,3
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,2.783,3
