Config,Organization,RAM,CPU,Source IP,Duration_Seconds,Num_Commands
bank_high_high,bank,high,high,64.227.137.31,3.076,3
bank_high_high,bank,high,high,64.227.137.31,3.079,3
bank_high_high,bank,high,high,64.227.137.31,3.0,3
bank_high_high,bank,high,high,51.195.255.251,1.072,3
bank_high_high,bank,high,high,191.23.120.226,1.253,0
bank_high_high,bank,high,high,191.23.120.226,1.141,0
bank_high_high,bank,high,high,152.228.134.44,0.884,0
bank_high_high,bank,high,high,101.89.169.61,147.962,3
bank_high_high,bank,high,high,101.89.169.61,2.783,3
bank_high_high,bank,high,high,157.245.60.247,2.846,3
bank_high_high,bank,high,high,161.49.89.39,1.992,0
bank_high_high,bank,high,high,27.128.229.223,2.89,0
bank_high_high,bank,high,high,216.122.167.17,1.913,0
bank_high_high,bank,high,high,154.92.23.236,0.361,0
bank_high_high,bank,high,high,124.137.205.56,2.355,3
bank_high_high,bank,high,high,154.92.23.236,0.649,3
bank_high_high,bank,high,high,154.92.23.236,0.143,0
bank_high_high,bank,high,high,124.137.205.56,2.521,3
bank_high_high,bank,high,high,47.206.67.127,0.442,0
bank_high_high,bank,high,high,47.206.67.127,1.056,3
bank_high_high,bank,high,high,165.22.108.91,2.286,0
bank_high_high,bank,high,high,165.22.108.91,4.126,3
bank_high_high,bank,high,high,93.114.194.136,1.497,3
bank_high_high,bank,high,high,103.162.20.168,99.864,0
bank_high_high,bank,high,high,139.59.4.122,2.914,3
bank_high_high,bank,high,high,94.206.41.18,2.435,0
bank_high_high,bank,high,high,189.39.187.190,3.167,0
bank_high_high,bank,high,high,1.31.80.222,4.186,0
bank_high_high,bank,high,high,121.165.8.169,6.205,0
bank_high_high,bank,high,high,117.50.184.148,2.702,3
bank_high_high,bank,high,high,31.15.16.144,0.823,0
bank_high_high,bank,high,high,45.55.39.59,1.521,3
bank_high_high,bank,high,high,65.76.26.86,2.419,0
bank_high_high,bank,high,high,83.40.69.137,1.624,2
bank_high_high,bank,high,high,195.19.97.203,1.409,3
bank_high_high,bank,high,high,103.181.142.31,3.899,3
bank_high_high,bank,high,high,219.76.135.121,4.956,0
bank_high_high,bank,high,high,122.117.188.220,3.353,0
bank_high_high,bank,high,high,220.132.170.64,3.066,0
bank_high_high,bank,high,high,38.54.100.110,3.61,0
bank_high_high,bank,high,high,38.54.100.110,4.346,0
bank_high_high,bank,high,high,38.54.100.110,2.187,0
bank_high_high,bank,high,high,176.161.166.113,3.125,0
bank_high_high,bank,high,high,1.55.33.86,2.832,3
bank_high_high,bank,high,high,180.7.156.169,10.968,0
bank_high_high,bank,high,high,122.187.230.34,6.233,0
bank_high_high,bank,high,high,45.148.10.119,1.375,1
bank_high_high,bank,high,high,85.192.56.68,2.028,0
bank_high_high,bank,high,high,45.148.10.119,1.387,1
bank_high_high,bank,high,high,194.169.175.107,10.031,0
bank_high_high,bank,high,high,203.198.116.145,1.825,0
bank_high_high,bank,high,high,203.198.116.145,1.618,0
bank_high_high,bank,high,high,203.198.116.145,1.827,0
bank_high_high,bank,high,high,92.255.85.189,3.543,0
bank_high_high,bank,high,high,195.178.110.34,5.896,1
bank_high_high,bank,high,high,140.246.228.50,81.663,0
bank_high_high,bank,high,high,165.232.180.105,3.265,3
bank_high_high,bank,high,high,151.80.61.151,1.121,3
bank_high_high,bank,high,high,151.80.61.151,1.048,3
bank_high_high,bank,high,high,68.178.160.133,2.733,3
bank_high_high,bank,high,high,101.36.231.233,2.635,3
bank_high_high,bank,high,high,128.199.5.115,0.614,0
bank_high_high,bank,high,high,85.192.56.68,1.926,0
bank_high_high,bank,high,high,23.94.179.104,2.369,0
bank_high_high,bank,high,high,76.136.164.157,2.122,0
bank_high_high,bank,high,high,172.210.64.72,0.402,3
bank_high_high,bank,high,high,46.101.72.94,0.738,0
bank_high_high,bank,high,high,174.138.56.152,1.65,0
bank_high_high,bank,high,high,46.19.143.66,1.404,0
bank_high_high,bank,high,high,83.249.97.66,0.999,0
bank_high_high,bank,high,high,103.69.84.149,101.721,0
bank_high_high,bank,high,high,66.65.8.125,3.066,0
bank_high_high,bank,high,high,146.190.119.107,1.008,3
bank_high_high,bank,high,high,146.190.119.107,0.994,3
bank_high_high,bank,high,high,36.110.161.134,5.037,0
bank_high_high,bank,high,high,191.36.149.57,18.632,0
bank_high_high,bank,high,high,218.10.27.190,6.88,0
bank_high_high,bank,high,high,109.126.34.84,3.627,0
bank_high_high,bank,high,high,138.68.58.124,1.085,3
bank_high_high,bank,high,high,85.192.56.68,2.14,0
bank_high_high,bank,high,high,117.222.117.205,3.397,0
bank_high_high,bank,high,high,220.246.42.79,4.931,0
bank_high_high,bank,high,high,31.131.26.207,0.787,0
bank_high_high,bank,high,high,45.40.138.101,0.882,0
bank_high_high,bank,high,high,115.41.206.174,4.555,4
bank_high_high,bank,high,high,45.40.138.101,0.651,0
bank_high_high,bank,high,high,41.83.140.157,1.16,0
bank_high_high,bank,high,high,124.198.59.254,2.363,3
bank_high_high,bank,high,high,124.198.59.254,2.216,3
bank_high_high,bank,high,high,124.198.59.254,2.362,3
bank_high_high,bank,high,high,62.99.74.174,0.723,0
bank_high_high,bank,high,high,51.158.120.121,1.154,3
bank_high_high,bank,high,high,110.4.0.180,4.918,0
bank_high_high,bank,high,high,94.156.167.17,0.758,0
bank_high_high,bank,high,high,94.156.167.17,0.776,0
bank_high_high,bank,high,high,179.42.124.80,3.443,0
bank_high_high,bank,high,high,85.192.56.68,2.078,0
bank_high_high,bank,high,high,38.87.62.101,3.548,0
bank_high_high,bank,high,high,174.160.85.233,1.864,0
bank_high_high,bank,high,high,82.65.192.254,1.619,0
bank_high_high,bank,high,high,181.188.137.78,6.94,0
bank_high_high,bank,high,high,61.1.186.121,3.754,0
bank_high_high,bank,high,high,218.149.159.138,5.366,0
bank_high_high,bank,high,high,182.75.227.178,5.638,0
bank_high_high,bank,high,high,77.91.78.195,1.018,0
bank_high_high,bank,high,high,77.91.78.195,0.978,0
bank_high_high,bank,high,high,77.91.78.195,75.398,0
bank_high_high,bank,high,high,88.248.250.143,4.303,0
bank_high_high,bank,high,high,36.137.38.119,6.712,0
bank_high_high,bank,high,high,85.192.56.68,1.994,0
bank_high_high,bank,high,high,103.124.190.196,12.539,0
bank_high_high,bank,high,high,90.0.99.32,1.782,0
bank_high_high,bank,high,high,92.255.85.189,3.661,0
bank_high_high,bank,high,high,121.202.199.147,4.278,0
bank_high_high,bank,high,high,34.92.18.156,2.371,3
bank_high_high,bank,high,high,208.109.188.104,1.065,3
bank_high_high,bank,high,high,61.1.186.121,4.287,0
bank_high_high,bank,high,high,81.225.205.153,1.19,0
bank_high_high,bank,high,high,220.81.45.66,5.491,0
bank_high_high,bank,high,high,61.221.30.246,3.408,0
bank_high_high,bank,high,high,180.76.164.132,2.646,3
bank_high_high,bank,high,high,92.222.171.6,1.337,0
bank_high_high,bank,high,high,36.134.78.151,6.699,0
bank_high_high,bank,high,high,65.20.194.197,2.591,0
bank_high_high,bank,high,high,211.247.127.251,3.771,0
bank_high_high,bank,high,high,103.124.220.50,11.529,0
bank_high_high,bank,high,high,148.113.195.131,0.552,3
bank_high_high,bank,high,high,148.113.195.131,0.288,0
bank_high_high,bank,high,high,164.92.68.31,1.147,1
bank_high_high,bank,high,high,151.177.76.179,1.677,0
bank_high_high,bank,high,high,101.230.251.217,3.651,0
bank_high_high,bank,high,high,20.127.224.153,0.401,3
bank_high_high,bank,high,high,125.213.128.169,2.862,3
bank_high_high,bank,high,high,20.127.224.153,0.473,3
bank_high_high,bank,high,high,103.10.44.105,2.141,0
bank_high_high,bank,high,high,43.241.132.10,2.148,0
bank_high_high,bank,high,high,43.241.132.10,2.111,0
bank_high_high,bank,high,high,197.90.195.68,23.714,0
bank_high_high,bank,high,high,65.20.168.20,3.362,0
